column,role,group,dtype,missing_n,missing_pct
wbc_mean,candidate_predictor,cbc_0_12h,float64,264,10.89
hemoglobin_n,candidate_predictor,cbc_0_12h,int64,0,0.0
hemoglobin_min,candidate_predictor,cbc_0_12h,float64,258,10.64
hemoglobin_max,candidate_predictor,cbc_0_12h,float64,258,10.64
hemoglobin_mean,candidate_predictor,cbc_0_12h,float64,258,10.64
platelet_n,candidate_predictor,cbc_0_12h,int64,0,0.0
platelet_min,candidate_predictor,cbc_0_12h,float64,261,10.77
platelet_max,candidate_predictor,cbc_0_12h,float64,261,10.77
platelet_mean,candidate_predictor,cbc_0_12h,float64,261,10.77
rdw_n,candidate_predictor,cbc_0_12h,int64,0,0.0
rdw_min,candidate_predictor,cbc_0_12h,float64,264,10.89
rdw_max,candidate_predictor,cbc_0_12h,float64,264,10.89
rdw_mean,candidate_predictor,cbc_0_12h,float64,264,10.89
inr_n,candidate_predictor,coagulation_0_12h,int64,0,0.0
inr_min,candidate_predictor,coagulation_0_12h,float64,540,22.28
inr_max,candidate_predictor,coagulation_0_12h,float64,540,22.28
inr_mean,candidate_predictor,coagulation_0_12h,float64,540,22.28
pt_n,candidate_predictor,coagulation_0_12h,int64,0,0.0
pt_min,candidate_predictor,coagulation_0_12h,float64,540,22.28
pt_max,candidate_predictor,coagulation_0_12h,float64,540,22.28
pt_mean,candidate_predictor,coagulation_0_12h,float64,540,22.28
ptt_n,candidate_predictor,coagulation_0_12h,int64,0,0.0
ptt_min,candidate_predictor,coagulation_0_12h,float64,514,21.2
ptt_max,candidate_predictor,coagulation_0_12h,float64,514,21.2
ptt_mean,candidate_predictor,coagulation_0_12h,float64,514,21.2
fibrinogen_n,candidate_predictor,coagulation_0_12h,int64,0,0.0
fibrinogen_min,candidate_predictor,coagulation_0_12h,float64,2144,88.45
fibrinogen_max,candidate_predictor,coagulation_0_12h,float64,2144,88.45
fibrinogen_mean,candidate_predictor,coagulation_0_12h,float64,2144,88.45
d_dimer_n,candidate_predictor,coagulation_0_12h,int64,0,0.0
d_dimer_min,candidate_predictor,coagulation_0_12h,float64,2400,99.01
d_dimer_max,candidate_predictor,coagulation_0_12h,float64,2400,99.01
d_dimer_mean,candidate_predictor,coagulation_0_12h,float64,2400,99.01
lactate_available_flag,candidate_predictor,blood_gas_0_12h,int64,0,0.0
ph_available_flag,candidate_predictor,blood_gas_0_12h,int64,0,0.0
creatinine_available_flag,candidate_predictor,chemistry_0_12h,int64,0,0.0
bun_available_flag,candidate_predictor,chemistry_0_12h,int64,0,0.0
wbc_available_flag,candidate_predictor,cbc_0_12h,int64,0,0.0
platelet_available_flag,candidate_predictor,cbc_0_12h,int64,0,0.0
inr_available_flag,candidate_predictor,coagulation_0_12h,int64,0,0.0
urineoutput_0_12h_n,candidate_predictor,urine_output_0_12h,int64,0,0.0
urineoutput_0_12h_total_ml,candidate_predictor,urine_output_0_12h,float64,126,5.2
urineoutput_0_12h_mean_record_ml,candidate_predictor,urine_output_0_12h,float64,126,5.2
urineoutput_0_12h_min_record_ml,candidate_predictor,urine_output_0_12h,float64,126,5.2
urineoutput_0_12h_max_record_ml,candidate_predictor,urine_output_0_12h,float64,126,5.2
low_urineoutput_0_12h_crude_flag,candidate_predictor,urine_output_0_12h,int64,0,0.0
urineoutput_available_flag,candidate_predictor,urine_output_0_12h,int64,0,0.0
gcs_n,candidate_predictor,gcs_0_12h,int64,0,0.0
gcs_first,candidate_predictor,gcs_0_12h,float64,5,0.21
gcs_last,candidate_predictor,gcs_0_12h,float64,5,0.21
gcs_min,candidate_predictor,gcs_0_12h,float64,5,0.21
gcs_max,candidate_predictor,gcs_0_12h,float64,5,0.21
gcs_mean,candidate_predictor,gcs_0_12h,float64,5,0.21
gcs_delta,candidate_predictor,gcs_0_12h,float64,5,0.21
gcs_motor_min,candidate_predictor,gcs_0_12h,float64,10,0.41
gcs_motor_max,candidate_predictor,gcs_0_12h,float64,10,0.41
gcs_verbal_min,candidate_predictor,gcs_0_12h,float64,487,20.09
gcs_verbal_max,candidate_predictor,gcs_0_12h,float64,487,20.09
gcs_eyes_min,candidate_predictor,gcs_0_12h,float64,6,0.25
gcs_eyes_max,candidate_predictor,gcs_0_12h,float64,6,0.25
gcs_unable_any_flag,candidate_predictor,gcs_0_12h,int64,0,0.0
gcs_available_flag,candidate_predictor,gcs_0_12h,int64,0,0.0
ventilation_records_0_12h_n,candidate_predictor,respiratory_support_0_12h,int64,0,0.0
invasive_vent_0_12h_flag,candidate_predictor,respiratory_support_0_12h,int64,0,0.0
noninvasive_vent_0_12h_flag,candidate_predictor,respiratory_support_0_12h,int64,0,0.0
highflow_0_12h_flag,candidate_predictor,respiratory_support_0_12h,int64,0,0.0
oxygen_0_12h_flag,candidate_predictor,respiratory_support_0_12h,int64,0,0.0
advanced_respiratory_support_0_12h_flag,candidate_predictor,respiratory_support_0_12h,int64,0,0.0
vaso_records_0_12h_n,candidate_predictor,vasoactive_0_12h,int64,0,0.0
norepinephrine_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
epinephrine_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
dopamine_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
phenylephrine_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
vasopressin_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
dobutamine_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
milrinone_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
vasoactive_agent_count_0_12h,candidate_predictor,vasoactive_0_12h,int64,0,0.0
vasopressor_any_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
inotrope_any_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
norepinephrine_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2056,84.82
epinephrine_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2399,98.97
dopamine_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2333,96.25
phenylephrine_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2271,93.69
vasopressin_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2398,98.93
dobutamine_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2389,98.56
milrinone_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,2407,99.3
nee_0_12h_n,candidate_predictor,vasoactive_0_12h,int64,0,0.0
nee_0_12h_max,candidate_predictor,vasoactive_0_12h,float64,1875,77.35
nee_0_12h_min,candidate_predictor,vasoactive_0_12h,float64,1875,77.35
nee_0_12h_mean,candidate_predictor,vasoactive_0_12h,float64,1875,77.35
nee_0_12h_last,candidate_predictor,vasoactive_0_12h,float64,1875,77.35
nee_available_0_12h_flag,candidate_predictor,vasoactive_0_12h,int64,0,0.0
