audit_section,rule_version,status,concept,itemid,label,fluid,category,unit,quarantine_reason,result_class,n_rows,n_specimens,n_stays,min_charttime,max_charttime,notes
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,lactate,50813,Lactate,Blood,Blood Gas,mmol/L,available_after_landmark,exact_numeric,38,38,38,2115-07-11T03:24:00,2208-01-17T02:20:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,ntprobnp,50963,NTproBNP,Blood,Chemistry,pg/mL,,exact_numeric,626,626,616,2110-03-31T22:47:00,2214-05-04T00:30:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,ntprobnp,50963,NTproBNP,Blood,Chemistry,pg/mL,,unparseable_or_text,13,13,13,2125-08-22T01:38:00,2187-05-09T01:44:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,ntprobnp,50963,NTproBNP,Blood,Chemistry,pg/mL,available_after_landmark,exact_numeric,135,135,135,2111-07-11T04:04:00,2204-07-23T02:17:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,ntprobnp,50963,NTproBNP,Blood,Chemistry,pg/mL,available_after_landmark,unparseable_or_text,11,11,10,2131-05-09T10:35:00,2199-10-12T12:39:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,ph,50820,pH,Blood,Blood Gas,units,,exact_numeric,6410,6410,3070,2110-01-31T04:17:00,2214-05-04T03:45:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,ph,50820,pH,Blood,Blood Gas,units,,unparseable_or_text,3,3,3,2137-02-10T15:11:00,2151-07-11T14:06:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,ph,50820,pH,Blood,Blood Gas,units,available_after_landmark,exact_numeric,46,46,46,2115-07-11T03:24:00,2208-01-17T02:20:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,troponin_t,51003,Troponin T,Blood,Chemistry,ng/mL,,exact_numeric,2796,2796,2063,2110-06-25T04:14:00,2208-06-13T07:37:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,troponin_t,51003,Troponin T,Blood,Chemistry,ng/mL,,unparseable_or_text,588,588,526,2110-01-31T04:59:00,2205-09-01T05:03:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,troponin_t,51003,Troponin T,Blood,Chemistry,ng/mL,available_after_landmark,exact_numeric,352,352,346,2111-03-09T06:43:00,2210-08-21T22:29:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,troponin_t,51003,Troponin T,Blood,Chemistry,ng/mL,available_after_landmark,unparseable_or_text,64,64,63,2111-02-26T04:15:00,2199-10-12T15:44:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
